"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-openssl_111d","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-openssl_303","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-apple_mail_16_0","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","www.bimcloud.fr/54.37.80.118","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.bimcloud.fr/54.37.80.118","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.bimcloud.fr/54.37.80.118","443","INFO","100","",""
"protocol_support_score_weighted","www.bimcloud.fr/54.37.80.118","443","INFO","30","",""
"key_exchange_score","www.bimcloud.fr/54.37.80.118","443","INFO","100","",""
"key_exchange_score_weighted","www.bimcloud.fr/54.37.80.118","443","INFO","30","",""
"cipher_strength_score","www.bimcloud.fr/54.37.80.118","443","INFO","60","",""
"cipher_strength_score_weighted","www.bimcloud.fr/54.37.80.118","443","INFO","24","",""
"final_score","www.bimcloud.fr/54.37.80.118","443","INFO","84","",""
"overall_grade","www.bimcloud.fr/54.37.80.118","443","OK","A","",""
"grade_cap_reason_1","www.bimcloud.fr/54.37.80.118","443","INFO","Grade capped to A. HSTS is not offered","",""
