"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","demo.tech.fr/54.37.80.118","443","INFO","HTTP","",""
"pre_128cipher","demo.tech.fr/54.37.80.118","443","INFO","No 128 cipher limit bug","",""
"SSLv2","demo.tech.fr/54.37.80.118","443","OK","not offered","",""
"SSLv3","demo.tech.fr/54.37.80.118","443","OK","not offered","",""
"TLS1","demo.tech.fr/54.37.80.118","443","INFO","not offered","",""
"TLS1_1","demo.tech.fr/54.37.80.118","443","INFO","not offered","",""
"TLS1_2","demo.tech.fr/54.37.80.118","443","OK","offered","",""
"TLS1_3","demo.tech.fr/54.37.80.118","443","OK","offered with final","",""
"ALPN_HTTP2","demo.tech.fr/54.37.80.118","443","OK","h2","",""
"ALPN","demo.tech.fr/54.37.80.118","443","INFO","http/1.1","",""
"cipherlist_NULL","demo.tech.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","demo.tech.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","demo.tech.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_LOW","demo.tech.fr/54.37.80.118","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","demo.tech.fr/54.37.80.118","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","demo.tech.fr/54.37.80.118","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","demo.tech.fr/54.37.80.118","443","OK","offered","",""
"cipherlist_STRONG_FS","demo.tech.fr/54.37.80.118","443","OK","offered","",""
"cipher_order-tls1_2","demo.tech.fr/54.37.80.118","443","OK","server","",""
"cipherorder_TLSv1_2","demo.tech.fr/54.37.80.118","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","demo.tech.fr/54.37.80.118","443","OK","server -- TLS 1.3 client determined","",""
"FS","demo.tech.fr/54.37.80.118","443","OK","offered","",""
"FS_ciphers","demo.tech.fr/54.37.80.118","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","demo.tech.fr/54.37.80.118","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","demo.tech.fr/54.37.80.118","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","demo.tech.fr/54.37.80.118","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","demo.tech.fr/54.37.80.118","443","INFO","yes","",""
"sessionresumption_ticket","demo.tech.fr/54.37.80.118","443","INFO","not supported","",""
"sessionresumption_ID","demo.tech.fr/54.37.80.118","443","INFO","not supported","",""
"TLS_timestamp","demo.tech.fr/54.37.80.118","443","INFO","random","",""
"certificate_compression","demo.tech.fr/54.37.80.118","443","INFO","none","",""
"clientAuth","demo.tech.fr/54.37.80.118","443","INFO","none","",""
"cert_numbers","demo.tech.fr/54.37.80.118","443","INFO","1","",""
"cert_signatureAlgorithm","demo.tech.fr/54.37.80.118","443","OK","SHA256 with RSA","",""
"cert_keySize","demo.tech.fr/54.37.80.118","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","demo.tech.fr/54.37.80.118","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","demo.tech.fr/54.37.80.118","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
